county,year,population
Page ,2015,15466
Floyd ,2015,15920
Clay ,2015,16498
Iowa ,2015,16293
Madison ,2015,15727
Hardin ,2015,17257
Crawford ,2015,17069
Tama ,2015,17214
Delaware ,2015,17395
Dickinson ,2015,17009
Clayton ,2015,17726
Jefferson ,2015,17913
Poweshiek ,2015,18379
Cedar ,2015,18257
Jackson ,2015,19363
Fayette ,2015,20143
Buena Vista ,2015,20373
Henry ,2015,19862
Winneshiek ,2015,20756
Carroll ,2015,20421
Jones ,2015,20435
Buchanan ,2015,21110
Washington ,2015,22160
Mahaska ,2015,22417
Bremer ,2015,24755
Plymouth ,2015,24912
Benton ,2015,25608
Boone ,2015,26468
Marion ,2015,33123
Lee ,2015,34916
Sioux ,2015,34764
Wapello ,2015,35450
Webster ,2015,37089
Jasper ,2015,36762
Des Moines ,2015,39909
Marshall ,2015,40340
Cerro Gordo ,2015,43006
Muscatine ,2015,43069
Clinton ,2015,47593
Warren ,2015,48486
Pottawattamie ,2015,93657
Dallas ,2015,80658
Dubuque ,2015,96934
Story ,2015,96744
Woodbury ,2015,102532
Black Hawk ,2015,133764
Johnson ,2015,145114
Scott ,2015,172072
Linn ,2015,220392
Polk ,2015,467517
Adams ,2016,3690
Ringgold ,2016,4994
Audubon ,2016,5625
Osceola ,2016,6089
Taylor ,2016,6219
Wayne ,2016,6438
Pocahontas ,2016,6845
Ida ,2016,6960
Fremont ,2016,6945
Van Buren ,2016,7243
Adair ,2016,7006
Worth ,2016,7470
Monroe ,2016,7835
Decatur ,2016,8061
Lucas ,2016,8565
Monona ,2016,8779
Palo Alto ,2016,9032
Greene ,2016,9011
Davis ,2016,8893
Howard ,2016,9261
Emmet ,2016,9588
Clarke ,2016,9293
Humboldt ,2016,9530
Calhoun ,2016,9808
Sac ,2016,9804
Montgomery ,2016,10135
Franklin ,2016,10173
Keokuk ,2016,10171
Winnebago ,2016,10599
Mitchell ,2016,10650
Hancock ,2016,10887
Guthrie ,2016,10661
Louisa ,2016,11219
Cherokee ,2016,11386
Shelby ,2016,11662
Lyon ,2016,11800
Chickasaw ,2016,12098
Union ,2016,12366
Grundy ,2016,12303
Appanoose ,2016,12515
Wright ,2016,12825
Cass ,2016,13198
Allamakee ,2016,13847
O'Brien ,2016,13921
Harrison ,2016,14051
Butler ,2016,14694
Kossuth ,2016,15104
Hamilton ,2016,15090
Mills ,2016,15041
Page ,2016,15343
Floyd ,2016,15870
Clay ,2016,16301
Iowa ,2016,16202
Madison ,2016,15800
Hardin ,2016,17193
Crawford ,2016,17107
Tama ,2016,17212
Delaware ,2016,17289
Dickinson ,2016,17135
Clayton ,2016,17657
Jefferson ,2016,18027
Poweshiek ,2016,18297
Cedar ,2016,18351
Jackson ,2016,19406
Fayette ,2016,19858
Buena Vista ,2016,20327
Henry ,2016,19842
Winneshiek ,2016,20432
Carroll ,2016,20362
Jones ,2016,20385
Buchanan ,2016,20999
Washington ,2016,22147
Mahaska ,2016,22325
Bremer ,2016,24796
Plymouth ,2016,25207
Benton ,2016,25634
Boone ,2016,26434
Marion ,2016,33157
Lee ,2016,34441
Sioux ,2016,34955
Wapello ,2016,35270
Webster ,2016,36813
Jasper ,2016,36722
Des Moines ,2016,39719
Marshall ,2016,40122
Cerro Gordo ,2016,43107
