county,unemployment,year
Osceola County,2.6,2016
Page County,5,2016
Palo Alto County,3.1,2016
Plymouth County,2.5,2016
Pocahontas County,2.8,2016
Polk County,3.4,2016
Pottawattamie County,3.4,2016
Poweshiek County,3.4,2016
Ringgold County,3.5,2016
Sac County,3,2016
Scott County,4.5,2016
Shelby County,2.9,2016
Sioux County,2.3,2016
Story County,2.3,2016
Tama County,4.1,2016
Taylor County,2.9,2016
Union County,3.8,2016
Van Buren County,3.6,2016
Wapello County,5.7,2016
Warren County,3.2,2016
Washington County,2.9,2016
Wayne County,3.7,2016
Webster County,4,2016
Winnebago County,3.4,2016
Winneshiek County,3.5,2016
Woodbury County,3.5,2016
Worth County,3.4,2016
Wright County,4.1,2016
Adair County,2.8,2017
Adams County,2.3,2017
Allamakee County,3.9,2017
Appanoose County,3.7,2017
Audubon County,3,2017
Benton County,3.2,2017
Black Hawk County,3.7,2017
Boone County,2.4,2017
Bremer County,2.8,2017
Buchanan County,3.1,2017
Buena Vista County,2.6,2017
Butler County,3.5,2017
Calhoun County,3,2017
Carroll County,2.3,2017
Cass County,3.5,2017
Cedar County,2.8,2017
Cerro Gordo County,3,2017
Cherokee County,2.5,2017
Chickasaw County,3.1,2017
Clarke County,3.1,2017
Clay County,3.7,2017
Clayton County,3.9,2017
Clinton County,4,2017
Crawford County,4,2017
Dallas County,2.1,2017
Davis County,3.3,2017
Decatur County,2.6,2017
Delaware County,2.6,2017
Des Moines County,4.2,2017
Dickinson County,3.6,2017
Dubuque County,2.9,2017
Emmet County,3.1,2017
Fayette County,3.6,2017
Floyd County,3.2,2017
Franklin County,2.7,2017
Fremont County,2.6,2017
Greene County,2.7,2017
Grundy County,2.9,2017
Guthrie County,3.2,2017
Hamilton County,3.2,2017
Hancock County,2.6,2017
Hardin County,3.1,2017
Harrison County,2.7,2017
Henry County,2.9,2017
Howard County,3,2017
Humboldt County,3,2017
Ida County,2.3,2017
Iowa County,2.6,2017
Jackson County,3.3,2017
Jasper County,3.1,2017
Jefferson County,3,2017
Johnson County,2.4,2017
Jones County,3.6,2017
Keokuk County,3.5,2017
Kossuth County,2.3,2017
Lee County,5.3,2017
Linn County,3.3,2017
Louisa County,3.2,2017
Lucas County,2.8,2017
Lyon County,1.7,2017
Madison County,3.5,2017
Mahaska County,3.2,2017
Marion County,2.6,2017
Marshall County,4.5,2017
Mills County,2.7,2017
Mitchell County,2.1,2017
Monona County,3.6,2017
Monroe County,3.7,2017
Montgomery County,3.1,2017
Muscatine County,3.2,2017
O'Brien County,2.4,2017
Osceola County,2,2017
Page County,3.8,2017
Palo Alto County,2.6,2017
Plymouth County,2.3,2017
Pocahontas County,2.4,2017
Polk County,3,2017
Pottawattamie County,2.7,2017
Poweshiek County,3.1,2017
Ringgold County,3,2017
Sac County,2.8,2017
Scott County,3.6,2017
Shelby County,2.3,2017
Sioux County,2,2017
Story County,2,2017
Tama County,3.4,2017
Taylor County,2.2,2017
Union County,3.1,2017
Van Buren County,3,2017
Wapello County,4.5,2017
Warren County,2.7,2017
Washington County,2.9,2017
Wayne County,3,2017
Webster County,3.7,2017
Winnebago County,3.1,2017
Winneshiek County,3,2017
Woodbury County,3.1,2017
Worth County,3,2017
Wright County,3.4,2017
Adair County,2.4,2018
Adams County,2,2018
Allamakee County,3.1,2018
Appanoose County,3.4,2018
Audubon County,2.5,2018
Benton County,2.8,2018
Black Hawk County,2.8,2018
Boone County,2.2,2018
Bremer County,2.1,2018
Buchanan County,2.6,2018
Buena Vista County,2.1,2018
Butler County,2.8,2018
Calhoun County,2.6,2018
Carroll County,1.9,2018
Cass County,2.7,2018
Cedar County,2.5,2018
Cerro Gordo County,2.6,2018
Cherokee County,2.2,2018
Chickasaw County,2.7,2018
Clarke County,2.9,2018
Clay County,3.3,2018
Clayton County,3.2,2018
Clinton County,3.3,2018
Crawford County,3.5,2018
Dallas County,1.7,2018
Davis County,2.7,2018
Decatur County,2.3,2018
Delaware County,2.1,2018
Des Moines County,3.3,2018
Dickinson County,3.2,2018
Dubuque County,2.5,2018
Emmet County,2.8,2018
Fayette County,3,2018
